diag_nat_code,chapter_range,chapter_name,group_range,group_name,sub_group_range,sub_group_name
U830,U00-U85,Codes for special purposes,U82-U85,Resistance to antimicrobial and antineoplastic drugs,U82-U85,Resistance to antimicrobial and antineoplastic drugs
M4052,M00-M99,Diseases of the musculoskeletal system and connective tissue,M40-M54,Dorsopathies,M40-M43,Deforming dorsopathies
Q165,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q10-Q18,"Congenital malformations of eye, ear, face and neck",Q10-Q18,"Congenital malformations of eye, ear, face and neck"
E270,E00-E90,"Endocrine, nutritional and metabolic diseases",E20-E35,Disorders of other endocrine glands,E20-E35,Disorders of other endocrine glands
J984,J00-J99,Diseases of the respiratory system,J95-J99,Other diseases of the respiratory system,J95-J99,Other diseases of the respiratory system
Z013,Z00-Z99,Factors influencing health status and contact with health services,Z00-Z13,Persons encountering health services for examination and investigation,Z00-Z13,Persons encountering health services for examination and investigation
K029,K00-K93,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K00-K14,"Diseases of oral cavity, salivary glands and jaws"
R195,R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R10-R19,Symptoms and signs involving the digestive system and abdomen,R10-R19,Symptoms and signs involving the digestive system and abdomen
K130,K00-K93,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K00-K14,"Diseases of oral cavity, salivary glands and jaws"
K011,K00-K93,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K00-K14,"Diseases of oral cavity, salivary glands and jaws"
I730,I00-I99,Diseases of the circulatory system,I70-I79,"Diseases of arteries, arterioles and capillaries",I70-I79,"Diseases of arteries, arterioles and capillaries"
R69,R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R50-R69,General symptoms and signs,R50-R69,General symptoms and signs
Z915,Z00-Z99,Factors influencing health status and contact with health services,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
K565,K00-K93,Diseases of the digestive system,K55-K64,Other diseases of intestines,K55-K64,Other diseases of intestines
Z018,Z00-Z99,Factors influencing health status and contact with health services,Z00-Z13,Persons encountering health services for examination and investigation,Z00-Z13,Persons encountering health services for examination and investigation
I778,I00-I99,Diseases of the circulatory system,I70-I79,"Diseases of arteries, arterioles and capillaries",I70-I79,"Diseases of arteries, arterioles and capillaries"
R32,R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R30-R39,Symptoms and signs involving the urinary system,R30-R39,Symptoms and signs involving the urinary system
Y848,V01-Y98,External causes of morbidity and mortality,Y40-Y84,Complications of medical and surgical care,Y83-Y84,"Surgical and other medical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
J848,J00-J99,Diseases of the respiratory system,J80-J84,Other respiratory diseases principally affecting the interstitium,J80-J84,Other respiratory diseases principally affecting the interstitium
R224,R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R20-R23,Symptoms and signs involving the skin and subcutaneous tissue,R20-R23,Symptoms and signs involving the skin and subcutaneous tissue
M9089,M00-M99,Diseases of the musculoskeletal system and connective tissue,M80-M94,Osteopathies and chondropathies,M86-M90,Other osteopathies
P288,P00-P96,Certain conditions originating in the perinatal period,P20-P29,Respiratory and cardiovascular disorders specific to the perinatal period,P20-P29,Respiratory and cardiovascular disorders specific to the perinatal period
G935,G00-G99,Diseases of the nervous system,G90-G99,Other disorders of the nervous system,G90-G99,Other disorders of the nervous system
Z596,Z00-Z99,Factors influencing health status and contact with health services,Z55-Z65,Persons with potential health hazards related to socioeconomic and psychosocial circumstances,Z55-Z65,Persons with potential health hazards related to socioeconomic and psychosocial circumstances
M259,M00-M99,Diseases of the musculoskeletal system and connective tissue,M00-M25,Arthropathies,M20-M25,Other joint disorders
R18,R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R10-R19,Symptoms and signs involving the digestive system and abdomen,R10-R19,Symptoms and signs involving the digestive system and abdomen
L814,L00-L99,Diseases of the skin and subcutaneous tissue,L80-L99,Other disorders of the skin and subcutaneous tissue,L80-L99,Other disorders of the skin and subcutaneous tissue
H405,H00-H59,Diseases of the eye and adnexa,H40-H42,Glaucoma,H40-H42,Glaucoma
J340,J00-J99,Diseases of the respiratory system,J30-J39,Other diseases of upper respiratory tract,J30-J39,Other diseases of upper respiratory tract
H534,H00-H59,Diseases of the eye and adnexa,H53-H54,Visual disturbances and blindness,H53-H54,Visual disturbances and blindness
I371,I00-I99,Diseases of the circulatory system,I30-I52,Other forms of heart disease,I30-I52,Other forms of heart disease
M6289,M00-M99,Diseases of the musculoskeletal system and connective tissue,M60-M79,Soft tissue disorders,M60-M63,Disorders of muscles
K74,K00-K93,Diseases of the digestive system,K70-K77,Diseases of liver,K70-K77,Diseases of liver
M8980,M00-M99,Diseases of the musculoskeletal system and connective tissue,M80-M94,Osteopathies and chondropathies,M86-M90,Other osteopathies
M0095,M00-M99,Diseases of the musculoskeletal system and connective tissue,M00-M25,Arthropathies,M00-M03,Infectious arthropathies
H264,H00-H59,Diseases of the eye and adnexa,H25-H28,Disorders of lens,H25-H28,Disorders of lens
G934,G00-G99,Diseases of the nervous system,G90-G99,Other disorders of the nervous system,G90-G99,Other disorders of the nervous system
Q039,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q07,Congenital malformations of the nervous system,Q00-Q07,Congenital malformations of the nervous system
G062,G00-G99,Diseases of the nervous system,G00-G09,Inflammatory diseases of the central nervous system,G00-G09,Inflammatory diseases of the central nervous system
K802,K00-K93,Diseases of the digestive system,K80-K87,"Disorders of gallbladder, biliary tract and pancreas",K80-K87,"Disorders of gallbladder, biliary tract and pancreas"
Z980,Z00-Z99,Factors influencing health status and contact with health services,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
Y658,V01-Y98,External causes of morbidity and mortality,Y40-Y84,Complications of medical and surgical care,Y60-Y69,Misadventures to patients during surgical and medical care
N898,N00-N99,Diseases of the genitourinary system,N80-N98,Noninflammatory disorders of female genital tract,N80-N98,Noninflammatory disorders of female genital tract
R827,R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R80-R82,"Abnormal findings on examination of urine, without diagnosis",R80-R82,"Abnormal findings on examination of urine, without diagnosis"
M549,M00-M99,Diseases of the musculoskeletal system and connective tissue,M40-M54,Dorsopathies,M50-M54,Other dorsopathies
Q390,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q38-Q45,Other congenital malformations of the digestive system,Q38-Q45,Other congenital malformations of the digestive system
Y95,V01-Y98,External causes of morbidity and mortality,Y90-Y98,Supplementary factors related to causes of morbidity and mortality classified elsewhere,Y90-Y98,Supplementary factors related to causes of morbidity and mortality classified elsewhere
Z430,Z00-Z99,Factors influencing health status and contact with health services,Z40-Z54,Persons encountering health services for specific procedures and health care,Z40-Z54,Persons encountering health services for specific procedures and health care
I678,I00-I99,Diseases of the circulatory system,I60-I69,Cerebrovascular diseases,I60-I69,Cerebrovascular diseases
R688,R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R50-R69,General symptoms and signs,R50-R69,General symptoms and signs
J980,J00-J99,Diseases of the respiratory system,J95-J99,Other diseases of the respiratory system,J95-J99,Other diseases of the respiratory system
R600,R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R50-R69,General symptoms and signs,R50-R69,General symptoms and signs
P298,P00-P96,Certain conditions originating in the perinatal period,P20-P29,Respiratory and cardiovascular disorders specific to the perinatal period,P20-P29,Respiratory and cardiovascular disorders specific to the perinatal period
H492,H00-H59,Diseases of the eye and adnexa,H49-H52,"Disorders of ocular muscles, binocular movement, accommodation and refraction",H49-H52,"Disorders of ocular muscles, binocular movement, accommodation and refraction"
Q632,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q60-Q64,Congenital malformations of the urinary system,Q60-Q64,Congenital malformations of the urinary system
R935,R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R90-R94,"Abnormal findings on diagnostic imaging and in function studies, without diagnosis",R90-R94,"Abnormal findings on diagnostic imaging and in function studies, without diagnosis"
K591,K00-K93,Diseases of the digestive system,K55-K64,Other diseases of intestines,K55-K64,Other diseases of intestines
M722,M00-M99,Diseases of the musculoskeletal system and connective tissue,M60-M79,Soft tissue disorders,M70-M79,Other soft tissue disorders
E237,E00-E90,"Endocrine, nutritional and metabolic diseases",E20-E35,Disorders of other endocrine glands,E20-E35,Disorders of other endocrine glands
